Date,Takings,Donations,Total,Day,Week,Month,Year,CustNumbers
02/04/13,158.85,0,158.85,Tues,1,1,13,46
03/04/13,132.65,0,132.65,Wed,1,1,13,37
04/04/13,100.5,2.7,103.2,Thurs,1,1,13,28
05/04/13,235.3,0,235.3,Fri,1,1,13,62
06/04/13,333.95,11.5,345.45,Sat,1,1,13,69
09/04/13,181.95,0,181.95,Tues,2,1,13,46
10/04/13,75.8,0,75.8,Wed,2,1,13,16
11/04/13,126.5,0,126.5,Thurs,2,1,13,37
12/04/13,193,15,208,Fri,2,1,13,40
13/04/13,69.55,2,71.55,Sat,2,1,13,24
16/04/13,201.45,7,208.45,Tues,3,1,13,54
17/04/13,82.05,0,82.05,Wed,3,1,13,16
18/04/13,166.55,5,171.55,Thurs,3,1,13,32
19/04/13,108.84,0,108.84,Fri,3,1,13,35
20/04/13,233.38,33.22,266.6,Sat,3,1,13,64
20/04/13,37.53,0,37.53,Sat,3,1,13,0
23/04/13,117.58,4,121.58,Tues,4,1,13,53
24/04/13,94.25,0,94.25,Wed,4,1,13,13
25/04/13,165.4,7,172.4,Thurs,4,1,13,36
26/04/13,163.84,0,163.84,Fri,4,1,13,50
27/04/13,109.65,7,116.65,Sat,4,1,13,27
30/04/13,152.9,5,157.9,Tues,5,2,13,49
01/05/13,176.6,25.13,201.73,Wed,5,2,13,43
02/05/13,110.05,0,110.05,Thurs,5,2,13,29
03/05/13,176.7,0,176.7,Fri,5,2,13,38
04/05/13,268.05,17.58,285.63,Sat,5,2,13,61
07/05/13,124.52,5,129.52,Tues,6,2,13,44
08/05/13,118.93,0,118.93,Wed,6,2,13,28
09/05/13,135.6,5,140.6,Thurs,6,2,13,27
10/05/13,140.15,0,140.15,Fri,6,2,13,26
11/05/13,209.05,0,209.05,Sat,6,2,13,55
14/05/13,160.4,13.5,173.9,Tues,7,2,13,57
15/05/13,90,0,90,Wed,7,2,13,19
16/05/13,135.35,0,135.35,Thurs,7,2,13,25
17/05/13,113.47,5,118.47,Fri,7,2,13,28
18/05/13,220.69,5.5,226.19,Sat,7,2,13,52
21/05/13,174.5,0,174.5,Tues,8,2,13,57
22/05/13,169.44,0,169.44,Wed,8,2,13,40
23/05/13,163.05,0,163.05,Thurs,8,2,13,43
24/05/13,172.54,0,172.54,Fri,8,2,13,31
25/05/13,159.67,43,202.67,Sat,8,2,13,32
28/05/13,170.6,1,171.6,Tues,9,3,13,47
29/05/13,209.75,9,218.75,Wed,9,3,13,37
30/05/13,156.8,0,156.8,Thurs,9,3,13,38
31/05/13,145.35,13,158.35,Fri,9,3,13,26
01/06/13,150.35,0,150.35,Sat,9,3,13,32
04/06/13,163.05,3.5,166.55,Tues,10,3,13,40
05/06/13,113.11,0,113.11,Wed,10,3,13,23
06/06/13,110.35,0,110.35,Thurs,10,3,13,21
07/06/13,99.13,0,99.13,Fri,10,3,13,19
08/06/13,169.3,11,180.3,Sat,10,3,13,35
11/06/13,166.05,0,166.05,Tues,11,3,13,45
12/06/13,181,6,187,Wed,11,3,13,29
13/06/13,132.65,5.5,138.15,Thurs,11,3,13,25
14/06/13,153.84,14,167.84,Fri,11,3,13,32
15/06/13,192.3,2.5,194.8,Sat,11,3,13,41
15/06/13,20.55,0,20.55,Sat,11,3,13,0
18/06/13,99.35,1.6,100.95,Tues,12,3,13,36
19/06/13,164.75,0,164.75,Wed,12,3,13,40
20/06/13,81.55,0,81.55,Thurs,12,3,13,27
21/06/13,139,0,139,Fri,12,3,13,37
21/06/13,238.5,9,247.5,Sat,12,3,13,49
25/06/13,125.9,3.65,129.55,Tues,13,3,13,45
26/06/13,118.4,0,118.4,Wed,13,3,13,22
27/06/13,68.5,4.36,72.86,Thurs,13,3,13,13
28/06/13,112.25,0,112.25,Fri,13,3,13,25
29/06/13,202.8,2.9,205.8,Sat,13,3,13,44
02/07/13,160.15,3,163.15,Tues,14,4,13,45
03/07/13,197.51,0,197.51,Wed,14,4,13,44
04/07/13,95.45,0,95.45,Thurs,14,4,13,20
05/07/13,183,1,184,Fri,14,4,13,44
07/07/13,149.83,12,161.83,Sat,14,4,13,35
07/07/13,25.36,0,25.36,Sat,14,4,13,0
09/07/13,153.6,0,153.6,Tues,15,4,13,39
10/07/13,155.9,0,155.9,Wed,15,4,13,30
11/07/13,147.1,13,160.1,Thurs,15,4,13,28
12/07/13,84.7,0,84.7,Fri,15,4,13,15
13/07/13,171.55,11,182.55,Sat,15,4,13,36
16/07/13,181.9,4,185.9,Tues,16,4,13,46
17/07/13,82.15,6,88.15,Wed,16,4,13,14
18/07/13,179.35,0,179.35,Thurs,16,4,13,40
19/07/13,107.32,0,107.32,Fri,16,4,13,21
20/07/13,241.9,20,261.9,Sat,16,4,13,45
23/07/13,168.75,0,168.75,Tues,17,4,13,48
24/07/13,99.3,0,99.3,Wed,17,4,13,19
25/07/13,92.95,6,98.95,Thurs,17,4,13,15
26/07/13,147.4,5,152.4,Fri,17,4,13,34
27/07/13,96.35,10,106.35,Sat,17,4,13,22
30/07/13,131,0,131,Tues,18,5,13,36
31/07/13,108.85,8,116.85,Wed,18,5,13,19
01/08/13,165.1,13,178.1,Thurs,18,5,13,34
02/08/13,118.05,0,118.05,Fri,18,5,13,31
03/08/13,243.75,9.5,253.25,Sat,18,5,13,53
06/08/13,129.65,6.5,136.15,Tues,19,5,13,33
07/08/13,103.2,6.5,109.7,Wed,19,5,13,21
08/08/13,160.2,4,164.2,Thurs,19,5,13,35
09/08/13,202.8,5.6,208.4,Fri,19,5,13,44
10/08/13,271.25,4.5,275.75,Sat,19,5,13,61
13/08/13,123.3,4.5,127.8,Tues,20,5,13,27
14/08/13,88.6,0,88.6,Wed,20,5,13,19
