Year,Month,Expenses,Income,Profit
13,1,5075.59,4939.82,-135.77
13,2,5449.4,6532.04,1082.64
13,3,5037.01,5538.54,501.53
13,4,5173.93,7251.35,2077.42
13,5,7029.57,10169.11,3139.54
13,6,5502.99,7400.79,1897.8
13,7,5321.78,6108.92,787.14
13,8,5215.24,6596.81,1381.57
13,9,4387.13,6586.41,2199.28
13,10,5800.07,5402.15,-397.92
13,11,6071.02,4698.42,-1372.6
13,12,7237.89,7433.09,195.2
14,1,6759.46,6607.72,-151.74
14,2,9039.39,7822.54,-1216.85
14,3,NA,NA,NA
14,4,NA,NA,NA
14,5,NA,NA,NA
14,6,NA,NA,NA
14,7,NA,NA,NA
14,8,NA,NA,NA
14,9,NA,NA,NA
14,10,NA,NA,NA
14,11,NA,NA,NA
14,12,NA,NA,NA
